Time Scale; Number of Packets; Total data; 
1; 48045; 2404671.000000; 
2; 143487; 7185749.000000; 
3; 237206; 11893864.000000; 
4; 335619; 16830305.000000; 
5; 432212; 21696446.000000; 
6; 531529; 26670668.000000; 
7; 630697; 31643861.000000; 
8; 728290; 36534367.000000; 
9; 828122; 41538893.000000; 
10; 922323; 46278941.000000; 
11; 981871; 49273103.000000; 
12; 981596; 49256325.000000; 
13; 981339; 49247333.000000; 
14; 982546; 49316376.000000; 
15; 982371; 49298106.000000; 
16; 982677; 49315067.000000; 
17; 979924; 49170870.000000; 
18; 982607; 49309959.000000; 
19; 979072; 49128901.000000; 
20; 982674; 49307460.000000; 
21; 981057; 49236906.000000; 
22; 982944; 49323437.000000; 
23; 980939; 49223220.000000; 
24; 982722; 49312791.000000; 
25; 980431; 49203743.000000; 
26; 982843; 49325452.928000; 
27; 979872; 49170123.160000; 
28; 982543; 49309352.160000; 
29; 981532; 49258304.160000; 
30; 982525; 49306948.160000; 
31; 982968; 49321241.160000; 
32; 980105; 49188573.160000; 
33; 982962; 49324885.160000; 
34; 981042; 49231974.160000; 
35; 982617; 49305704.160000; 
36; 981332; 49254898.160000; 
37; 981460; 49258170.160000; 
38; 981344; 49251057.432000; 
39; 982436; 49308629.040000; 
40; 981246; 49245592.040000; 
41; 982086; 49291145.040000; 
42; 981149; 49236464.040000; 
43; 945838; 47464345.040000; 
44; 979027; 49128421.040000; 
45; 949546; 47650715.040000; 
46; 978720; 49115864.808000; 
47; 981197; 49237813.664000; 
48; 982782; 49321440.040000; 
49; 981371; 49241310.040000; 
50; 983005; 49326702.040000; 
51; 981704; 49262483.040000; 
52; 983105; 49336555.040000; 
53; 981310; 49239696.040000; 
54; 982244; 49290700.040000; 
55; 981517; 49244521.040000; 
56; 982524; 49309966.040000; 
57; 981121; 49234672.040000; 
58; 982249; 49296493.808000; 
59; 980711; 49220722.040000; 
60; 982852; 49320787.040000; 
61; 981554; 49252088.040000; 
62; 981646; 49274077.040000; 
63; 981797; 49272250.040000; 
64; 981533; 49264837.040000; 
65; 982872; 49327368.040000; 
66; 981631; 49261036.664000; 
67; 981642; 49265657.040000; 
68; 981371; 49251251.040000; 
69; 982399; 49305309.040000; 
70; 981095; 49237875.808000; 
71; 982999; 49329089.040000; 
72; 981936; 49284856.040000; 
73; 982706; 49323809.040000; 
74; 981075; 49244803.040000; 
75; 982639; 49310010.040000; 
76; 981614; 49257881.040000; 
77; 982477; 49300706.040000; 
78; 982470; 49318954.040000; 
79; 978907; 49122648.040000; 
80; 958767; 48121196.808000; 
81; 975716; 48962998.040000; 
82; 961778; 48263908.664000; 
83; 977965; 49082847.656000; 
84; 983096; 49339383.560000; 
85; 981723; 49263105.560000; 
86; 982982; 49336578.560000; 
87; 981441; 49253001.560000; 
88; 983079; 49335900.560000; 
89; 981167; 49240467.560000; 
90; 983069; 49326772.560000; 
91; 981259; 49236599.560000; 
92; 982727; 49322649.424000; 
93; 982093; 49287001.560000; 
94; 981752; 49267930.560000; 
95; 982481; 49306937.560000; 
96; 980484; 49197501.560000; 
97; 982579; 49315787.184000; 
98; 981332; 49247669.560000; 
99; 982812; 49321479.560000; 
100; 981544; 49258905.560000; 
101; 982686; 49313593.560000; 
102; 981361; 49255007.656000; 
103; 982760; 49321093.560000; 
104; 981796; 49274232.560000; 
105; 982623; 49323801.560000; 
106; 981030; 49233859.328000; 
107; 982114; 49291274.560000; 
108; 981916; 49281689.560000; 
109; 982460; 49299760.560000; 
110; 983138; 49333147.560000; 
111; 981120; 49241662.560000; 
112; 982719; 49317980.656000; 
113; 980647; 49213944.560000; 
114; 981958; 49277922.560000; 
115; 981446; 49257318.560000; 
116; 981323; 49246245.184000; 
117; 981592; 49261329.560000; 
118; 982913; 49327707.560000; 
119; 981083; 49227072.560000; 
120; 981280; 49244657.328000; 
121; 965514; 48451786.656000; 
122; 951404; 47746651.560000; 
123; 914687; 45895003.560000; 
124; 845119; 42409781.560000; 
125; 761819; 38228420.560000; 
126; 661993; 33209214.560000; 
127; 559378; 28065195.064000; 
128; 466621; 23416548.160000; 
129; 368715; 18499250.696000; 
130; 271438; 13617747.000000; 
131; 179133; 8989881.000000; 
132; 104140; 5226421.000000; 
133; 46999; 2357415.000000; 
134; 21922; 1099967.000000; 
135; 4923; 246200.000000; 
