



User ID: 0


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.108

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Doff;429780;99
Doff;449270;131
Doff;468760;142
Doff;488250;192
Doff;507740;270
Doff;527230;298
Doff;546720;420
Doff;566210;504
Doff;585700;627
Doff;605190;726
Doff;624680;856
Doff;644170;1035
Doff;663660;1160
Doff;683150;1354
Doff;702640;1583
Doff;722130;1815
Doff;741620;2088
Doff;761110;2343
Doff;780600;2553
Doff;800090;2751
Doff;819580;2997
Doff;839070;3267
Doff;858560;3479
Doff;878050;3668
Doff;897540;3750
Doff;917030;3901
Doff;936520;3991
Doff;956010;3984
Doff;975500;4012
Doff;994990;3944
Doff;1014480;3812
Doff;1033970;3714
Doff;1053460;3516
Doff;1072950;3478
Doff;1092440;3224
Doff;1111930;3026
Doff;1131420;2723
Doff;1150910;2495
Doff;1170400;2305
Doff;1189890;2071
Doff;1209380;1741
Doff;1228870;1569
Doff;1248360;1364
Doff;1267850;1206
Doff;1287340;1031
Doff;1306830;871
Doff;1326320;709
Doff;1345810;596
Doff;1365300;519
Doff;1384790;363
Doff;1404280;352
Doff;1423770;260
Doff;1443260;206
Doff;1462750;146
Doff;1482240;126
Doff;1501730;91
Doff;1521220;78
Doff;1540710;52
Doff;1560200;40
Doff;1579690;30
Doff;1599180;20
Doff;1618670;25
Doff;1638160;9
Doff;1657650;5
Doff;1677140;11
Doff;1696630;3
Doff;1716120;2
Doff;1735610;1
Doff;1755100;3
Doff;1774590;0
Doff;1794080;1
Doff;1813570;0
Doff;1833060;0
Doff;1852550;0
Doff;1872040;0
Doff;1891530;0
Doff;1911020;0
Doff;1930510;0
Doff;1950000;0




User ID: 2


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.1282

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;99937
Don;64;17
Don;79;7
Don;93;4
Don;108;4
Don;122;4
Don;137;2
Don;151;1
Don;166;2
Don;180;3
Don;195;3
Don;209;2
Don;224;3
Don;238;0
Don;253;1
Don;267;0
Don;282;0
Don;296;0
Don;311;1
Don;325;0
Don;340;0
Don;354;1
Don;369;0
Don;383;0
Don;398;1
Don;412;0
Don;427;0
Don;441;0
Don;456;0
Don;470;0
Don;485;0
Don;499;0
Don;514;0
Don;528;0
Don;543;0
Don;557;0
Don;572;0
Don;586;0
Don;601;0
Don;615;0
Don;630;0
Don;644;0
Don;659;0
Don;673;1
Don;688;0
Don;702;0
Don;717;0
Don;731;0
Don;746;0
Don;760;0
Don;775;0
Don;789;0
Don;804;0
Don;818;0
Don;833;1
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;0
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;0
Don;1007;0
Don;1021;0
Don;1036;0
Don;1050;0
Don;1065;0
Don;1079;0
Don;1094;0
Don;1108;0
Don;1123;1
Don;1137;0
Don;1152;0
Don;1166;0
Don;1181;0
Don;1195;1
Don;1210;0
Don;1224;0
Don;1239;0
Don;1253;0
Don;1268;0
Don;1282;0
Don;1297;0
Don;1311;0
Don;1326;0
Don;1340;0
Don;1355;0
Don;1369;0
Don;1384;0
Don;1398;0
Don;1413;0
Don;1427;0
Don;1442;0
Don;1456;0
Don;1471;0
Don;1485;0
Don;1500;3


Parameters of the Doff generation
Type=5, min=1000, max=1950000
Lambda=0.28, k=0.74, alpha=0.36, xm=1, avg=975000, sigma=195000
Internal stats of the Doff generation: 100000 values, mean=975087

Distribution of the Doff generation
Distrib_type;Start_of_range;Number_of_times
Doff;1000;0
Doff;20490;0
Doff;39980;0
Doff;59470;0
Doff;78960;0
Doff;98450;0
Doff;117940;0
Doff;137430;1
Doff;156920;0
Doff;176410;1
Doff;195900;1
Doff;215390;3
Doff;234880;9
Doff;254370;4
Doff;273860;7
Doff;293350;11
Doff;312840;9
Doff;332330;22
Doff;351820;24
Doff;371310;35
Doff;390800;51
Doff;410290;59
Doff;429780;76
Doff;449270;139
Doff;468760;174
Doff;488250;207
Doff;507740;237
Doff;527230;258
Doff;546720;431
Doff;566210;469
Doff;585700;625
Doff;605190;743
Doff;624680;863
Doff;644170;1024
Doff;663660;1187
Doff;683150;1367
Doff;702640;1504
Doff;722130;1839
Doff;741620;2130
Doff;761110;2249
Doff;780600;2656
Doff;800090;2804
Doff;819580;3025
Doff;839070;3219
Doff;858560;3475
Doff;878050;3674
Doff;897540;3724
Doff;917030;3834
Doff;936520;3950
Doff;956010;3990
Doff;975500;4041
Doff;994990;3894
Doff;1014480;3839
Doff;1033970;3794
Doff;1053460;3600
Doff;1072950;3442
Doff;1092440;3281
Doff;1111930;3075
Doff;1131420;2694
Doff;1150910;2575
Doff;1170400;2229
Doff;1189890;2013
Doff;1209380;1840
Doff;1228870;1592
Doff;1248360;1355
Doff;1267850;1186
Doff;1287340;1009
Doff;1306830;868
Doff;1326320;713
Doff;1345810;564
Doff;1365300;481
Doff;1384790;372
Doff;1404280;330
Doff;1423770;269
Doff;1443260;220
Doff;1462750;140
Doff;1482240;121
Doff;1501730;88
Doff;1521220;71
Doff;1540710;52
Doff;1560200;37
Doff;1579690;30
Doff;1599180;20
Doff;1618670;18
Doff;1638160;16
Doff;1657650;5
Doff;1677140;4
Doff;1696630;4
Doff;1716120;2
Doff;1735610;1
Doff;1755100;1
Doff;1774590;3
Doff;1794080;1
Doff;1813570;0
Doff;1833060;0
Doff;1852550;0
Doff;1872040;0
Doff;1891530;0
Doff;1911020;0
Doff;1930510;0
Doff;1950000;0




User ID: 3


Parameters of the Don generation
Type=7, min=50, max=1500
Lambda=1, k=1, alpha=1.1, xm=0.081, avg=750, sigma=150
Internal stats of the Don generation: 100000 values, mean=50.1583

Distribution of the Don generation
Distrib_type;Start_of_range;Number_of_times
Don;50;99923
Don;64;15
Don;79;13
Don;93;10
Don;108;3
Don;122;3
Don;137;1
Don;151;3
Don;166;3
Don;180;3
Don;195;0
Don;209;0
Don;224;1
Don;238;0
Don;253;0
Don;267;2
Don;282;0
Don;296;0
Don;311;5
Don;325;0
Don;340;0
Don;354;1
Don;369;0
Don;383;0
Don;398;0
Don;412;1
Don;427;1
Don;441;0
Don;456;1
Don;470;0
Don;485;0
Don;499;0
Don;514;0
Don;528;2
Don;543;1
Don;557;1
Don;572;0
Don;586;0
Don;601;0
Don;615;0
Don;630;0
Don;644;0
Don;659;0
Don;673;1
Don;688;0
Don;702;0
Don;717;0
Don;731;0
Don;746;0
Don;760;0
Don;775;1
Don;789;0
Don;804;0
Don;818;1
Don;833;0
Don;847;0
Don;862;0
Don;876;0
Don;891;0
Don;905;0
Don;920;0
Don;934;0
Don;949;0
Don;963;0
Don;978;0
Don;992;0
Don;1007;0
Don;1021;0
Don;1036;0
Don;1050;0
