Time Scale; Number of Packets; Total data; 
188; 1715048; 86027558.000000; 
189; 1736783; 87117443.000000; 
190; 1716021; 86076433.000000; 
191; 1727221; 86637260.000000; 
192; 1723602; 86457650.000000; 
193; 1707607; 85655274.000000; 
194; 1728197; 86687744.000000; 
195; 1707062; 85629275.000000; 
196; 1728543; 86704437.000000; 
197; 1708898; 85719405.000000; 
198; 1671942; 83868294.000000; 
199; 1714821; 86015395.000000; 
200; 1723331; 86445907.000000; 
201; 1727729; 86663427.000000; 
202; 1707888; 85671140.000000; 
203; 1727004; 86627320.000000; 
204; 1708088; 85677896.000000; 
205; 1727127; 86632860.000000; 
206; 1708825; 85715456.000000; 
207; 1726457; 86599592.000000; 
208; 1721818; 86367269.000000; 
209; 1712651; 85906727.000000; 
210; 1726921; 86623643.000000; 
211; 1706333; 85589268.000000; 
212; 1727533; 86653753.000000; 
213; 1708598; 85702370.000000; 
214; 1727277; 86640804.000000; 
215; 1710214; 85783923.000000; 
216; 1725119; 86533066.000000; 
217; 1727099; 86631576.000000; 
218; 1706706; 85609668.000000; 
219; 3433915; 86635826.000000; 
220; 1705692; 85558589.000000; 
221; 1727083; 86630255.000000; 
222; 1707827; 85665245.000000; 
223; 1726786; 86616028.000000; 
224; 1717643; 86157951.000000; 
225; 1716705; 86111614.000000; 
226; 1726478; 86601113.000000; 
227; 1707004; 85623204.000000; 
228; 1727032; 86627921.000000; 
229; 1710555; 85801887.000000; 
230; 1728073; 86680507.000000; 
231; 1708687; 85708264.000000; 
232; 1726973; 86625855.000000; 
233; 1726774; 86614848.000000; 
234; 1708205; 85683669.000000; 
235; 1727756; 86664020.000000; 
236; 1705297; 85540065.000000; 
237; 1727730; 86663871.000000; 
238; 1708904; 85720615.000000; 
239; 1726818; 86618511.000000; 
240; 1715124; 86031051.000000; 
241; 1721732; 86363406.000000; 
242; 1727802; 86667458.000000; 
243; 1703234; 85431072.000000; 
244; 1727327; 86643582.000000; 
245; 1707931; 85668769.000000; 
246; 1726697; 86614914.000000; 
247; 1708710; 85710135.000000; 
248; 1727226; 86638407.000000; 
249; 1723338; 86443803.000000; 
250; 1713070; 85928260.000000; 
251; 1726927; 86623537.000000; 
252; 1708430; 85695373.000000; 
253; 1724124; 86483665.000000; 
254; 1706722; 85611574.000000; 
255; 1723339; 86443200.000000; 
256; 1707827; 85668556.000000; 
257; 1722178; 86384428.000000; 
258; 1724353; 86494320.000000; 
259; 1705184; 85532990.000000; 
260; 1725158; 86536533.000000; 
261; 1707425; 85644720.000000; 
262; 1724925; 86521785.000000; 
263; 1708100; 85680835.000000; 
264; 1724539; 86503106.000000; 
265; 3442051; 86149756.000000; 
266; 1711409; 85843565.000000; 
267; 1724713; 86511971.000000; 
268; 1706679; 85609007.000000; 
269; 1725011; 86527169.000000; 
270; 1706669; 85607232.000000; 
271; 1725164; 86535582.000000; 
272; 1706478; 85597215.000000; 
273; 1724126; 86484458.000000; 
274; 1725374; 86544981.000000; 
275; 1703732; 85459974.000000; 
276; 1725459; 86550142.000000; 
277; 1706457; 85597289.000000; 
278; 1718931; 86222067.000000; 
279; 1697210; 85149253.000000; 
280; 1715436; 86046410.000000; 
281; 1707151; 85631503.000000; 
282; 1707929; 85669553.000000; 
283; 1716489; 86099887.000000; 
284; 1698391; 85204624.000000; 
285; 1716563; 86103019.000000; 
286; 3413126; 85098310.000000; 
287; 1715754; 86061743.000000; 
288; 1696393; 85092853.000000; 
289; 1715756; 86062191.000000; 
290; 1711069; 85827565.000000; 
291; 1699600; 85254247.000000; 
292; 1716932; 86121442.000000; 
293; 1696423; 85093716.000000; 
294; 1715800; 86065681.000000; 
295; 1697831; 85165772.000000; 
296; 1715376; 86044327.000000; 
297; 1704299; 85488227.000000; 
298; 1710221; 85786200.000000; 
299; 1716323; 86090753.000000; 
300; 1697058; 85124798.000000; 
301; 1716031; 86081562.000000; 
302; 1698272; 85186161.000000; 
303; 1716218; 86085183.000000; 
304; 1696368; 85090312.000000; 
305; 1714965; 86022623.000000; 
306; 1709481; 85749521.000000; 
307; 1704363; 85489940.000000; 
308; 1716938; 86126099.000000; 
309; 1696175; 85080782.000000; 
310; 1716562; 86103165.000000; 
311; 1694152; 84981324.000000; 
312; 1715032; 86026522.000000; 
313; 1697444; 85144172.000000; 
314; 1714023; 85975663.000000; 
315; 1714383; 85995350.000000; 
316; 1695718; 85057909.000000; 
317; 1715156; 86034342.000000; 
318; 1696928; 85121999.000000; 
319; 1716391; 86097522.000000; 
320; 1698819; 85212929.000000; 
321; 1714968; 86023457.000000; 
